"Part";"Value";"Device";"Package";"Description";"DATASHEETURL";"DESCRIPTION";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESIGNATOR";"PIN_COUNT";"PROD_ID";"SPICEMODEL";"SPICEPREFIX";"SUPPLIER";"TOLERANCE";"VALUE";"VENDOR";
"5VREG";"AP1509SOIC-8-TIGHT";"AP1509SOIC-8-TIGHT";"SO08-TIGHT";"150KHz, 2A PWM BUCK DC/DC CONVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6V_REG";"AOZ1284";"AOZ1284";"SO08-EXPOSED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ADC";"JST_SH_6";"JST_SH_6";"JST_SH_6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BAL";"BQ29209";"BQ29209";"8-SON_3X3MM";"BQ29209 2-CELL Balance and Overvoltage Protection";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BMP";"BMP180";"BMP180";"BMP180";"BOSCH BMP180 DIGITAL BAROMETRIC PRESSURE SENSOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C$108";"10uF 25V";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"10uF";"C";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";"";"";
"C2";"10uF";"C";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";"";"";
"C3";"0.1uF";"CC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";"";"";
"C4";"10uF";"C";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";"";"";
