"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEETURL";"DESCRIPTION";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESIGNATOR";"PIN_COUNT";"PROD_ID";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"1";"";"DIODEDO214AA";"DO-214AA";"D9";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"DIODESOD-123";"SOD-123";"D1, D2, D3";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";".1, 0805";"R-US_R0805";"R0805";"R107";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"0";"RESISTOR0402-RES";"0402-RES";"R111, R149, R150";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0";"RESISTOR0603";"0603-RES";"R112, R119";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0, DNP";"RESISTOR0603";"0603-RES";"R121";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1";"RESISTOR0603";"0603-RES";"R4";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31";"0.1uF";"CAP0402-CAP";"0402-CAP";"C1, C2, C6, C8, C9, C13, C14, C15, C17, C18, C19, C22, C24, C27, C28, C35, C37, C39, C40, C41, C43, C44, C45, C47, C49, C50, C51, C52, C54, C55, C56";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1.5K";"RESISTOR0402-RES";"0402-RES";"R2, R23, R58, R106";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17";"100K";"RESISTOR0402-RES";"0402-RES";"R16, R17, R87, R88, R113, R115, R116, R118, R120, R122, R125, R127, R129, R131, R135, R140, R143";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
